Date,AA,CAT,DIS,GM,HPQ,JNJ,MCD,MMM,MO,MRK,MSFT,PFE,PG,T,XOM
2024-11-08,44.21,387.52,98.16,55.0,35.38,150.6,292.15,131.72,50.38,99.24,419.39,24.92,163.39,21.38,116.88
2024-11-11,42.96,390.64,99.99,57.05,36.2,150.19,294.65,130.4,50.27,97.13,414.9,24.47,161.76,21.35,116.27
2024-11-12,40.43,387.16,100.12,56.81,35.66,147.86,291.84,127.8,50.74,95.06,419.88,24.42,161.57,21.2,116.15
2024-11-13,40.08,381.31,101.83,57.1,35.37,148.44,290.57,128.88,51.5,94.98,422.03,24.92,162.29,21.34,117.23
2024-11-14,40.69,381.6,108.18,57.01,35.07,147.11,291.75,129.74,51.63,94.85,423.71,24.26,162.78,21.3,117.31
2024-11-15,43.46,378.36,114.09,56.44,35.29,149.18,285.96,127.93,52.13,92.87,411.91,23.13,165.18,21.71,116.09
2024-11-18,43.42,378.74,112.56,55.66,35.97,149.92,284.46,128.31,52.51,93.11,412.66,23.18,166.35,22.0,117.07
2024-11-19,45.02,376.64,111.45,54.53,35.43,148.21,284.1,126.36,52.07,93.09,414.68,23.41,166.36,21.76,115.43
2024-11-20,45.16,375.82,113.27,54.29,35.25,148.32,284.28,126.01,52.18,93.96,412.39,23.26,166.49,21.85,117.08
2024-11-21,45.86,383.79,113.73,55.1,36.43,150.63,281.89,125.5,52.22,96.29,410.61,23.43,168.3,21.99,118.64
2024-11-22,44.9,391.58,114.65,57.92,36.64,150.31,283.66,126.58,52.88,95.64,414.72,23.92,171.74,22.19,118.51
2024-11-25,46.62,399.62,115.0,59.57,37.77,150.9,289.43,128.45,52.9,97.55,416.5,24.4,172.82,22.11,116.74
2024-11-26,46.82,401.76,114.45,54.21,37.57,150.88,289.57,131.05,53.68,97.99,425.65,24.03,174.69,22.1,114.79
2024-11-27,45.3,397.69,116.58,54.92,33.31,151.74,288.35,130.58,53.73,99.44,420.68,24.09,174.74,22.27,114.49
